OS,KB,Type,Release,SKU,Build Number,Binaries Affected,Full Binaries
Win10Update1511(TH2),4103728,Security Only,05/08/2018,3.5,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,"(mscordacwks.dll-2.0.50727.8784),(mscorlib.dll-2.0.50727.8784),(mscorwks.dll-2.0.50727.8784),(sos.dll-2.0.50727.8784),(system.security.dll-2.0.50727.8784)"
Win10Update1607(RS1),4103723,Security Only,05/08/2018,3.5,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,"(mscordacwks.dll-2.0.50727.8784),(mscorlib.dll-2.0.50727.8784),(mscorwks.dll-2.0.50727.8784),(sos.dll-2.0.50727.8784),(system.security.dll-2.0.50727.8784)"
Win10Update1703(RS2),4103731,Security Only,05/08/2018,3.5,50727.8804,mscorlib.dll;mscorwks.dll;system.security.dll;,"(mscordacwks.dll-2.0.50727.8804),(mscorlib.dll-2.0.50727.8804),(mscorwks.dll-2.0.50727.8804),(sos.dll-2.0.50727.8804),(system.security.dll-2.0.50727.8804)"
Win10Update1709(RS3),4103727,Security Only,05/08/2018,3.5,50727.8830,mscorlib.dll;mscorwks.dll;system.security.dll;,"(mscordacwks.dll-2.0.50727.8830),(mscorlib.dll-2.0.50727.8830),(mscorwks.dll-2.0.50727.8830),(sos.dll-2.0.50727.8830),(system.security.dll-2.0.50727.8830)"
Win10Update1507(TH1),4103716,Security Only,05/08/2018,3.5,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,"(mscordacwks.dll-2.0.50727.8784),(mscorlib.dll-2.0.50727.8784),(mscorwks.dll-2.0.50727.8784),(sos.dll-2.0.50727.8784),(system.security.dll-2.0.50727.8784)"
Server2K12,4095512,Security Only,05/08/2018,3.5,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,(system.security.dll-2.0.50727.8784); (mscorlib.dll-2.0.50727.8784); (mscordacwks.dll-2.0.50727.8784); (mscorwks.dll-2.0.50727.8784); (sos.dll-2.0.50727.8784)
Server2K8,4095513,Security Only,05/08/2018,2.0/3.0,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,(system.security.dll-2.0.50727.8784); (mscorlib.dll-2.0.50727.8784); (mscordacwks.dll-2.0.50727.8784); (mscorwks.dll-2.0.50727.8784); (sos.dll-2.0.50727.8784)
Win7/Server2K8R2,4095514,Security Only,05/08/2018,3.5.1,50727.5504,mscorlib.dll;mscorwks.dll;system.security.dll;,(system.security.dll-2.0.50727.8784); (mscorlib.dll-2.0.50727.8784); (mscordacwks.dll-2.0.50727.8784); (mscorwks.dll-2.0.50727.8784); (sos.dll-2.0.50727.8784)
Win8.1/Server2K12R2/Win8.1RT,4095515,Security Only,05/08/2018,3.5,50727.8784,mscorlib.dll;mscorwks.dll;system.security.dll;,(system.security.dll-2.0.50727.8784); (mscorlib.dll-2.0.50727.8784); (mscordacwks.dll-2.0.50727.8784); (mscorwks.dll-2.0.50727.8784); (sos.dll-2.0.50727.8784)
WinXP Embedded,4095516,Security Only,05/08/2018,3.5,00000.0000,mscorlib.dll;mscorwks.dll;system.security.dll;,
Win2K3 SP2,4095516,Security Only,05/08/2018,3.5,30729.8799,mscorlib.dll;mscorwks.dll;system.security.dll;,
Win8.1/Server2K12R2/Win8.1RT,4095517,Security Only,05/08/2018,4.5.2,52440.36440,mscorlib.dll;system.security.dll;,(system.security.dll-4.0.30319.36440); (mscorlib.dll-4.0.30319.36440); (clrjit.dll-4.0.30319.36440); (clr.dll-4.0.30319.36440); (mscordacwks.dll-4.0.30319.36440); (mscordbi.dll-4.0.30319.36440); (mscorlib.ni.dll-4.0.30319.36440); (msvcp120_clr0400.dll-12.0.52440.36440); (msvcr120_clr0400.dll-12.0.52440.36440); (peverify.dll-4.0.30319.36440); (sos.dll-4.0.30319.36440)
Server2K12,4095518,Security Only,05/08/2018,4.5.2,52440.36440,mscorlib.dll;system.security.dll;,(system.security.dll-4.0.30319.36440); (mscorlib.dll-4.0.30319.36440); (clrjit.dll-4.0.30319.36440); (clr.dll-4.0.30319.36440); (mscordacwks.dll-4.0.30319.36440); (mscordbi.dll-4.0.30319.36440); (msvcp120_clr0400.dll-12.0.52430.36430); (msvcr120_clr0400.dll-12.0.52430.36430); (peverify.dll-4.0.30319.36440); (sos.dll-4.0.30319.36440)
Win7/Server2K8R2,4095519,Security Only,05/08/2018,4.5.2,52439.36440,mscorlib.dll;system.security.dll;,(clr.dll-4.0.30319.36440); (clrjit.dll-4.0.30319.36440); (mscordacwks.dll-4.0.30319.36440); (mscordbi.dll-4.0.30319.36440); (mscorlib.dll-4.0.30319.36440); (peverify.dll-4.0.30319.36440); (SOS.dll-4.0.30319.36440); (System.Security.dll-4.0.30319.36440); (msvcp120_clr0400.dll-12.0.52440.36440); (msvcr120_clr0400.dll-12.0.52440.36440)
Win10Update1507(TH1),4103716,Security Only,05/08/2018,4.6.2,01661.00,system.security.dll;mscorlib.dll;,"(clr.dll-4.6.1661.0),(clrjit.dll-4.6.1661.0),(compatjit.dll-4.6.1661.0),(mscordacwks.dll-4.6.1661.0),(mscordbi.dll-4.6.1661.0),(mscorlib.dll-4.6.1661.0),(mscorlib.ni.dll-4.6.1661.0),(msvcp120_clr0400.dll-12.0.52512.0),(msvcr120_clr0400.dll-12.0.52512.0),(peverify.dll-4.6.1661.0),(sos.dll-4.6.1661.0),(system.security.dll-4.6.1661.0)"
Win10Update1511(TH2),4103728,Security Only,05/08/2018,4.6.2,01661.00,system.security.dll;mscorlib.dll;,"(clr.dll-4.6.1661.0),(clrjit.dll-4.6.1661.0),(compatjit.dll-4.6.1661.0),(mscordacwks.dll-4.6.1661.0),(mscordbi.dll-4.6.1661.0),(mscorlib.dll-4.6.1661.0),(mscorlib.ni.dll-4.6.1661.0),(msvcp120_clr0400.dll-12.0.52512.0),(msvcr120_clr0400.dll-12.0.52512.0),(peverify.dll-4.6.1661.0),(sos.dll-4.6.1661.0),(system.security.dll-4.6.1661.0)"
Win2K3 SP2 x86,4095527,Security Only,05/08/2018,1.1,4322.2550,system.security.dll;,(corperfmonext.dll-1.1.4322.2527); (mscorjit.dll-1.1.4322.2527); (mscorlib.dll-1.1.4322.2527); (mscorsvr.dll-1.1.4322.2527); (mscorwks.dll-1.1.4322.2527); (netfxupdate.exe-1.0.3705.3); (setregni.exe-1.1.4322.2035); (sy52106.dll-1.1.4322.2527); (system.security.dll-1.1.4322.2550); (togac.exe-1.1.4322.2251)
WinXP Embedded,4095528,Security Only,05/08/2018,4.0,30319.2111,system.security.dll;,(Setup.exe-10.0.30319.2111); (SetupEngine.dll-10.0.30319.2111); (SetupUi.dll-10.0.30319.2111); (System.Security.dll-4.0.30319.2111)
Win7/Server2K8R2,4095528,Security Only,05/08/2018,4.0,30319.2111,system.security.dll;,(Setup.exe-10.0.30319.2111); (SetupEngine.dll-10.0.30319.2111); (SetupUi.dll-10.0.30319.2111); (System.Security.dll-4.0.30319.2111)
Win10Update1607(RS1),4103723,Security Only,05/08/2018,4.6.2/4.7/4.7.1,02650.00,clr.dll;system.security.dll;,"(clr.dll-4.7.2650.0),(clrjit.dll-4.7.2650.0),(compatjit.dll-4.7.2650.0),(mscordacwks.dll-4.7.2650.0),(mscordbi.dll-4.7.2650.0),(mscorlib.dll-4.7.2650.0),(mscorlib.ni.dll-4.7.2650.0),(msvcp120_clr0400.dll-12.0.52519.0),(msvcr120_clr0400.dll-12.0.52519.0),(peverify.dll-4.7.2650.0),(sos.dll-4.7.2650.0),(system.security.dll-4.7.2650.0)"
