OS,Parent KB,Child KBs
Server2K8,4099640,4.6 = 4096237 4.5.2 = 4095519 2.0/3.0 = 4095513
Win7/Server2K8R2,4099637,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096237 4.5.2 = 4095519 3.5.1 = 4095514
Server2K12,4099638,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096235 4.5.2 = 4095518 3.5 = 4095512
Win8.1/Server2K12R2/Win8.1RT,4099639,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096236 4.5.2 = 4095517 3.5 = 4095515
Win10Update1507(TH1),4103716,4.6/4.6.1/4.6.2 = 4103716 3.5 = 4103716
Win10Update1511(TH2),4103728,4.6/4.6.1/4.6.2 = 4103728 3.5 = 4103728
Win10Update1607(RS1),4103723,4.6.2/4.7/4.7.1 = 4103723 3.5 = 4103723
Win10Update1703(RS2),4103731,4.7/4.7.1 = 4103731 3.5 = 4103731
Win10Update1709(RS3),4103727,4.7.1 = 4103727 3.5 = 4103727
Win10Update1803(RS4),4103721,4.7.2 = 4103721 3.5 = 4103721
