OS,KB,Type,Release,SKU,Build Number,Binaries Affected,Full Binaries
Server2K8,4346743,Update,07/23/2018,2.0/3.0,50727.8793,mscorwks.dll;mscorsvc.dll;,(mscorlib.dll-2.0.50727.8793); (mscordacwks.dll-2.0.50727.8793); (mscorsvc.dll-2.0.50727.8793); (mscorwks.dll-2.0.50727.8793); (sos.dll-2.0.50727.8793)
Win7/Server2K8R2,4346744,Update,07/23/2018,3.5.1,50727.8793,mscorwks.dll;mscorsvc.dll;,(mscorlib.dll-2.0.50727.8793); (mscordacwks.dll-2.0.50727.8793); (mscorsvc.dll-2.0.50727.8793); (mscorwks.dll-2.0.50727.8793); (sos.dll-2.0.50727.8793)
Win7/Server2K8R2,4346410,Update,07/23/2018,4.5.2,52461.36461,clr.dll;,(clr.dll-4.0.30319.36460); (clrjit.dll-4.0.30319.36460); (mscordacwks.dll-4.0.30319.36460); (mscordbi.dll-4.0.30319.36460); (mscorlib.dll-4.0.30319.36460); (peverify.dll-4.0.30319.36460); (SOS.dll-4.0.30319.36460); (msvcp120_clr0400.dll-12.0.52460.36460); (msvcr120_clr0400.dll-12.0.52460.36460)
Win7/Server2K8R2,4346407,Update,07/23/2018,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2,03133.02,clr.dll;,(clr.dll-4.7.3133.0); (clrjit.dll-4.7.3133.0); (mscordacwks.dll-4.7.3133.0); (mscordbi.dll-4.7.3133.0); (mscorlib.dll-4.7.3133.0); (msvcp120_clr0400.dll-12.0.52519.0); (msvcr120_clr0400.dll-12.0.52519.0); (peverify.dll-4.7.3133.0); (SOS.dll-4.7.3133.0); (compatjit.dll-4.7.3133.0)
Server2K12,4346742,Update,07/23/2018,3.5,50727.8793,mscorwks.dll;mscorsvc.dll;,(mscorlib.dll-2.0.50727.8793); (mscordacwks.dll-2.0.50727.8793); (mscorsvc.dll-2.0.50727.8793); (mscorwks.dll-2.0.50727.8793); (sos.dll-2.0.50727.8793)
Server2K12,4346739,Update,07/23/2018,4.5.2,52460.36460,clr.dll;,(mscorlib.dll-4.0.30319.36460); (clrjit.dll-4.0.30319.36460); (clr.dll-4.0.30319.36460); (mscordacwks.dll-4.0.30319.36460); (mscordbi.dll-4.0.30319.36460); (msvcp120_clr0400.dll-12.0.52460.36460); (msvcr120_clr0400.dll-12.0.52460.36460); (peverify.dll-4.0.30319.36460); (sos.dll-4.0.30319.36460)
Server2K12,4346405,Update,07/23/2018,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2,03133.02,clr.dll;,(mscorlib.dll-4.7.3133.0); (clrjit.dll-4.7.3133.0); (clr.dll-4.7.3133.0); (mscordacwks.dll-4.7.3133.0); (mscordbi.dll-4.7.3133.0); (msvcp120_clr0400.dll-12.0.52519.0); (msvcr120_clr0400.dll-12.0.52519.0); (peverify.dll-4.7.3133.0); (sos.dll-4.7.3133.0); (compatjit.dll-4.7.3133.0)
Win8.1/Server2K12R2/Win8.1RT,4346745,Update,07/23/2018,3.5,50727.8793,mscorwks.dll;mscorsvc.dll;,(mscorlib.dll-2.0.50727.8793); (mscordacwks.dll-2.0.50727.8793); (mscorsvc.dll-2.0.50727.8793); (mscorwks.dll-2.0.50727.8793); (sos.dll-2.0.50727.8793)
Win8.1/Server2K12R2/Win8.1RT,4346408,Update,07/23/2018,4.5.2,52460.36460,clr.dll;,(mscorlib.dll-4.0.30319.36460); (clrjit.dll-4.0.30319.36460); (clr.dll-4.0.30319.36460); (mscordacwks.dll-4.0.30319.36460); (mscordbi.dll-4.0.30319.36460); (mscorlib.ni.dll-4.0.30319.36460); (msvcp120_clr0400.dll-12.0.52460.36460); (msvcr120_clr0400.dll-12.0.52460.36460); (peverify.dll-4.0.30319.36460); (sos.dll-4.0.30319.36460)
Win8.1/Server2K12R2/Win8.1RT,4346406,Update,07/23/2018,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2,03133.02,clr.dll;,(mscorlib.dll-4.7.3133.0); (clrjit.dll-4.7.3133.0); (clr.dll-4.7.3133.0); (mscordacwks.dll-4.7.3133.0); (mscordbi.dll-4.7.3133.0); (mscorlib.ni.dll-4.7.3133.0); (msvcp120_clr0400.dll-12.0.52519.0); (msvcr120_clr0400.dll-12.0.52519.0); (peverify.dll-4.7.3133.0); (sos.dll-4.7.3133.0); (compatjit.dll-4.7.3133.0)
Win10Update1607(RS1),4346734,Update,07/23/2018,3.5,50727.8793,mscorwks.dll;mscorsvc.dll;,
Win10Update1607(RS1),4346734,Update,07/23/2018,4.6.2/4.7/4.7.1/4.7.2,03132.00,clr.dll;,"(clr.dll-4.7.3132.0),(clrjit.dll-4.7.3132.0),(compatjit.dll-4.7.3132.0),(mscordacwks.dll-4.7.3132.0),(mscordbi.dll-4.7.3132.0),(mscorlib.dll-4.7.3132.0),(mscorlib.ni.dll-4.7.3132.0),(msvcp120_clr0400.dll-12.0.52519.0),(msvcr120_clr0400.dll-12.0.52519.0),(peverify.dll-4.7.3132.0),(sos.dll-4.7.3132.0),(mscordacwks.dll-2.0.50727.8793),(mscorlib.dll-2.0.50727.8793),(mscorsvc.dll-2.0.50727.8793),(mscorwks.dll-2.0.50727.8793),(sos.dll-2.0.50727.8793)"
Win10Update1607(RS1),4346877,Update,07/23/2018,4.6.2/4.7/4.7.1/4.7.2,,,"(clr.dll-4.7.3132.0),(clrjit.dll-4.7.3132.0),(compatjit.dll-4.7.3132.0),(mscordacwks.dll-4.7.3132.0),(mscordbi.dll-4.7.3132.0),(mscorlib.dll-4.7.3132.0),(mscorlib.ni.dll-4.7.3132.0),(msvcp120_clr0400.dll-12.0.52519.0),(msvcr120_clr0400.dll-12.0.52519.0),(peverify.dll-4.7.3132.0),(sos.dll-4.7.3132.0),(mscordacwks.dll-2.0.50727.8793),(mscorlib.dll-2.0.50727.8793),(mscorsvc.dll-2.0.50727.8793),(mscorwks.dll-2.0.50727.8793),(sos.dll-2.0.50727.8793)"
